instance,rolling_acc,active_real_acc,active_pred_acc,active_real_div,active_pred_div,pool_real_acc,pool_real_div,K,lambda,drift_count,n_swapped,mean_margin,mean_A_inst,mean_C,mean_w,lbd_updates,lbd_instances,lbd_gap_mean,lbd_conf_mean,lbd_gap_pre_mean,lbd_conf_pre_mean,lbd_pool_updates
500,0.61,0.36680000000000007,0.3858414249406072,0.34523218390804594,0.2974620689655172,0.3580285714285714,0.3592521739130435,15,0.849985641605199,0,0,0.503790635773044,0.3691860519447218,0.37503746353260303,0.3769880838328608,0,0,,,,,0
1000,0.64,0.3906333333333334,0.4292682822715467,0.3630505747126437,0.32790287816091945,0.3869714285714286,0.36817225672877846,15,0.8499999994109615,0,0,0.39290743730661243,0.4673252038742869,0.3615831656958698,0.39120605257727525,0,0,,,,,0
1500,0.67,0.39030000000000004,0.29833140171453376,0.3648114942528735,0.34979016386206874,0.38632857142857147,0.3697031055900621,15,0.849999999467556,0,0,0.6171478902748945,0.3556485150061848,0.40663606987817613,0.333495455728734,761,196,0.5283671698610574,0.9736411045623599,0.1617340696503058,0.7484503566495859,9335
2000,0.64,0.39186666666666664,0.38300144230340327,0.36677241379310344,0.36249990182841374,0.3878285714285714,0.3715958592132505,15,0.8499999995187127,0,0,0.5005939295819168,0.2184686730598059,0.2805810778698055,0.32160328766193186,1533,376,0.534019673797382,0.9751468794679108,0.14878071469276222,0.7365274733497346,17620
2500,0.74,0.3941666666666668,0.5291750863023164,0.36831034482758623,0.36783754636558685,0.3895714285714285,0.3730045548654244,15,0.8499999995649544,0,0,0.5285420283577787,0.33413128646229134,0.3753492741761556,0.43983155837809845,2229,561,0.531683872112585,0.9749054022418053,0.14662708290463647,0.7343382199371165,26926
3000,0.61,0.39440000000000003,0.4666529448163303,0.37054252873563215,0.3960396375322839,0.38987142857142854,0.37458592132505175,15,0.8499999996067532,0,0,0.29270407595856984,0.5157348771768767,0.35005337595730773,0.39421379728179423,2889,734,0.5261992438088173,0.9731261104790241,0.14504010934350847,0.7334876383325725,36192
3500,0.61,0.39490000000000003,0.37166071104595133,0.3715333333333333,0.4100265634229606,0.3906142857142858,0.3752749482401656,15,0.8499999996445361,0,0,0.27680566618387076,0.17577929551923635,0.18143621808509713,0.2527972350197826,3312,856,0.5243476185286485,0.9712708569431595,0.12930231804153675,0.7224887083700822,42440
4000,0.72,0.3983,0.590222136286107,0.3737586206896552,0.41733634070244086,0.39392857142857146,0.3771590062111801,15,0.8499999996786889,0,0,0.3485466572935948,0.590500155451243,0.3797433163988882,0.4623497501354554,3613,967,0.5188992469634255,0.9686467948270991,0.11747377850847589,0.7160448712131966,49744
4500,0.75,0.40073333333333333,0.5187190458870651,0.3754896551724138,0.426959074141516,0.39647142857142864,0.37850641821946174,15,0.8499999997095602,0,0,0.42142849828264944,0.5636281884363705,0.40752785821440046,0.44447109360498777,4019,1096,0.5156999944698412,0.9657807152220178,0.11037800217559153,0.7131516764967026,59406
5000,0.73,0.40166666666666656,0.5919702377472064,0.37623908045977006,0.4431876896386171,0.39722857142857143,0.3789532091097308,15,0.8499999997374654,0,0,0.5562739369687179,0.5922549471985261,0.5175228252517572,0.5361608799684965,4394,1225,0.5119985824993322,0.9642335600766417,0.10598518165761701,0.71077064644473,69794
